Sample	fws	bin_0	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9
BBH-1-125	0.99599546	4.025979e-06	0.0007300778	0.0015961819	0.0015090735	0.0020034548	0.004555883	0.0030734697	0.00079821015	0.00028138555	0.00011826188
BBH_1_132	0.9962663	1.5427652e-06	0.00036283862	0.0004181673	0.00020558001	0.0009545831	0.0033640715	0.002537469	0.0011583305	0.0018372182	0.0010462364
BBH_1_137	0.9696698	6.993969e-05	0.005056733	0.008341077	0.009849361	0.011847869	0.015895808	0.014934951	0.012381623	0.012254958	0.012181951
BBH_1_153	0.6914518	0.000551815	0.03389593	0.06486579	0.08827699	0.11118207	0.12123271	0.1326369	0.14483766	0.15113518	0.15618752
BBH_1_162	0.5418062	0.00078206527	0.047569953	0.09385636	0.1320895	0.15812561	0.1823072	0.200629	0.21608241	0.21846123	0.2379121
Brazil01	0.74130696	0.0008441419	0.033345178	0.05108222	0.06558733	0.08491677	0.09936341	0.114098616	0.13160726	0.13372444	0.12468888
Brazil32	0.9950129	0.00033068238	0.0012496926	0.0013529848	0.001547106	0.0011866649	0.0017517074	0.0022087547	0.00049131404	0.0044721123	0.0024206752
Brazil_Belem	0.9992034	3.2310204e-06	1.5759788e-05	0.00029231625	0.00016538287	0.00029460917	0.0	0.0	0.00019994997	0.00046215788	0.0010435594
Brazil_I	0.9983111	1.0816314e-05	0.0004093384	0.0008883303	0.0005429576	0.0013740384	0.0011050577	0.0	0.0006018533	0.00054298807	0.0007416208
Colombia_30101099036	0.9991282	9.9725385e-06	0.0001682787	0.00024195049	0.00017844774	0.00054034847	0.00026710654	0.0	0.00013954651	0.0005902696	0.0007634108
Colombia_30101099038	0.99918884	8.507702e-06	0.00013630457	0.00026989225	0.00023073173	0.00036256903	8.692056e-05	0.0	0.00014245852	0.00047065082	0.000950974
Colombia_30101099040	0.99883914	1.15443045e-05	0.00015665244	0.00024107493	0.00013523667	0.00094735785	0.0006354506	0.0002885773	0.00026908814	0.00044913424	0.00074463896
Colombia_30102100437	0.99843293	8.956365e-06	4.249688e-05	0.00017014629	0.0005217318	0.00051750493	0.0005405129	0.0006589225	0.0003649366	0.00071105664	0.0013648621
Colombia_30102100438-A	0.99784327	8.088766e-06	0.00065783935	0.0011234323	0.0021328104	0.0024331075	0.0013660074	0.0	0.0	0.00040060058	0.0006595652
Colombia_30102100438-B	0.9963074	1.9006e-05	0.0005595611	0.0009943844	0.0028982763	0.0032107858	0.0016636539	0.00028473456	0.00031067262	0.0025977737	0.00090475427
Colombia_30102100439	0.9991435	3.8806837e-05	0.00020115907	0.00040117095	0.00016713102	0.001298567	0.001016781	0.0	9.8987184e-05	0.0	0.0001414167
Colombia_30102100440	0.9971802	1.0776502e-05	0.0005915818	0.0017336644	0.0026996676	0.0033227256	0.00062141096	0.00012290356	0.00043252963	0.0004970048	0.0012144267
Colombia_30102100441-A	0.63249785	0.0007397473	0.043875378	0.073726505	0.10999129	0.1305306	0.14168777	0.15327068	0.18267354	0.1806369	0.18149745
Colombia_30102100441-B	0.9976445	1.971205e-05	0.00025536524	0.0013708171	0.001505674	0.002064431	0.0015274311	0.00022915358	0.00016988501	0.0009937162	0.00073490373
Colombia_30102100443-A	0.9978682	6.691434e-05	6.922767e-05	0.00018236607	0.00040675644	0.0013632817	0.0015235738	0.0	0.00042296786	0.00061674	0.0021605715
Colombia_30102100443-B	0.9931658	8.381037e-05	0.00070567225	0.0017176698	0.002916072	0.0047403486	0.0016204541	0.0013505328	0.003097358	0.0044318503	0.0025017057
Colombia_30102100445	0.9989288	5.9979186e-05	0.000235512	0.00032772153	0.00027470427	0.0008663715	7.612442e-05	0.0	0.0	0.0007039841	0.0011275035
Colombia_30102100446	0.99777853	1.8535875e-05	0.00016677329	0.00067319354	0.00052852224	0.0009836332	0.0010352577	0.00057237793	0.0002773714	0.0009009206	0.0021004311
Colombia_30102100448	0.99841523	9.902397e-05	0.00025926396	0.00034278678	0.000698042	0.0011719196	0.0009211503	0.00022191959	0.0006196107	0.00020122886	0.0010618403
Colombia_30102100449	0.99931246	8.467539e-06	3.4840665e-05	0.00036886978	7.767242e-05	0.00047489672	0.0	0.0	0.0	0.00061007024	0.00068368705
Colombia_30102100485	0.9966567	4.2000134e-05	0.00045896962	0.0012055095	0.0032272409	0.003763729	0.00072214386	0.0003263948	0.00022883275	0.0009807941	0.0017151322
Colombia_30102100486	0.9979109	9.439287e-06	0.00016770446	0.0005160678	0.00030289698	0.0011245206	0.0006795681	0.0010404604	0.0007243089	0.0010557715	0.0011496204
Colombia_30102100487	0.9976413	6.2822473e-06	0.00055399985	0.0017797033	0.003021607	0.0033652135	0.0	0.00027303756	0.0	0.00041000228	0.00062156946
Colombia_30102100488	0.99838465	1.6638727e-05	0.00030474606	0.0005307808	0.00052202976	0.0008473521	0.0010091551	9.8082e-05	0.0007602386	0.0004925493	0.0009984287
Colombia_30102100489	0.9968318	1.7309623e-05	0.0013425497	0.002602438	0.003709449	0.0044549783	0.0008359406	0.0003296954	0.00013063943	0.00021022247	0.0004054238
Colombia_30102100490	0.9977071	6.7148812e-06	0.00062778074	0.0014999518	0.0029024512	0.0031036863	0.0	9.998933e-05	0.0001647765	0.00043341494	0.00077290257
Colombia_30102100491	0.7949794	0.0004035937	0.02452418	0.041925874	0.071004376	0.07352414	0.074537635	0.08718728	0.096306734	0.09883637	0.10413841
Colombia_30102100492	0.9964286	5.024563e-05	0.00036548648	0.00081270357	0.002414598	0.001921133	0.00036238934	0.002405939	0.0018941277	0.0015111039	0.00064192107
Colombia_30102100493	0.9975171	1.677112e-05	0.00035342842	0.00044672057	4.5328634e-05	0.0014874154	0.0014096065	0.0008325426	0.0004931542	0.0010246923	0.0019182998
