Sample	fws	bin_0	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9
BBH-1-125	0.9959938	4.030849e-06	0.0007301904	0.0015966587	0.0015090735	0.0020034548	0.004564268	0.003071373	0.00079757057	0.00028138555	0.00011816486
BBH_1_132	0.99626565	1.5446313e-06	0.00036289459	0.0004182922	0.00020558001	0.0009545831	0.0033702631	0.002535738	0.0011574023	0.0018372182	0.001045378
BBH_1_137	0.969693	7.0024296e-05	0.0050326907	0.008343568	0.009849361	0.011847869	0.015860684	0.014924764	0.012371701	0.012254958	0.012171957
BBH_1_153	0.69149965	0.00055350526	0.03390116	0.06488517	0.08827699	0.11118207	0.12145584	0.13254642	0.14472161	0.15113518	0.15605938
BBH_1_162	0.5415401	0.00078335014	0.04771092	0.093884386	0.1320895	0.15812561	0.18321481	0.20068163	0.21590926	0.21846123	0.23795857
Brazil01	0.7413609	0.00084515277	0.03336732	0.051098015	0.06558733	0.0849678	0.099287614	0.114098616	0.13160726	0.13372444	0.12456047
Brazil32	0.99501395	0.00033107836	0.0012505224	0.0013534032	0.001547106	0.0011873781	0.0017503713	0.0022087547	0.00049131404	0.0044721123	0.0024181823
Brazil_Belem	0.99920374	3.2348896e-06	1.5770253e-05	0.00029240665	0.00016538287	0.0002947862	0.0	0.0	0.00019994997	0.00046215788	0.0010424847
Brazil_I	0.99831134	1.0829267e-05	0.0004096102	0.00088860496	0.0005429576	0.0013748641	0.0011042147	0.0	0.0006018533	0.00054298807	0.000740857
Colombia_30101099036	0.99912846	9.984481e-06	0.00016839044	0.00024202531	0.00017844774	0.0005406732	0.0002669028	0.0	0.00013954651	0.0005902696	0.0007626246
Colombia_30101099038	0.99918914	8.51789e-06	0.00013639509	0.0002699757	0.00023073173	0.00036278693	8.6854256e-05	0.0	0.00014245852	0.00047065082	0.0009499946
Colombia_30101099040	0.99883944	1.1558129e-05	0.00015675648	0.00024114946	0.00013523667	0.0009479271	0.00063496584	0.0002885773	0.00026908814	0.00044913424	0.0007438721
Colombia_30102100437	0.9984335	8.96709e-06	4.2525095e-05	0.0001701989	0.0005217318	0.0005178159	0.0005401006	0.0006589225	0.0003649366	0.00071105664	0.0013634565
Colombia_30102100438-A	0.9978434	8.098452e-06	0.0006582762	0.0011237797	0.0021328104	0.0024345696	0.0013649653	0.0	0.0	0.00040060058	0.0006588859
Colombia_30102100438-B	0.9963075	1.902876e-05	0.0005599326	0.0009946919	0.0028982763	0.0032127153	0.0016623848	0.00028473456	0.00031067262	0.0025977737	0.00090382254
Colombia_30102100439	0.99914354	3.8853308e-05	0.00020129264	0.00040129502	0.00016713102	0.0012993474	0.0010160054	0.0	9.8987184e-05	0.0	0.00014127107
Colombia_30102100440	0.99718016	1.0789407e-05	0.0005919746	0.0017342005	0.0026996676	0.0033247226	0.000620937	0.00012290356	0.00043252963	0.0004970048	0.0012131761
Colombia_30102100441-A	0.6325512	0.00074063323	0.043904513	0.073614106	0.1102022	0.13060905	0.14157969	0.15327068	0.18267354	0.1806369	0.18131053
Colombia_30102100441-B	0.99764466	1.9735655e-05	0.0002555348	0.001371241	0.001505674	0.0020656718	0.001526266	0.00022915358	0.00016988501	0.0009937162	0.00073414686
Colombia_30102100443-A	0.99786913	6.699448e-05	6.927364e-05	0.00018242246	0.00040675644	0.0013641011	0.0015224117	0.0	0.00042296786	0.00061674	0.0021583464
Colombia_30102100443-B	0.99316627	8.391074e-05	0.0007061408	0.0017182009	0.002916072	0.004743197	0.0016192182	0.0013505328	0.003097358	0.0044318503	0.0024991292
Colombia_30102100445	0.9989291	6.0051014e-05	0.00023566838	0.00032782287	0.00027470427	0.00086689217	7.606635e-05	0.0	0.0	0.0007039841	0.0011263423
Colombia_30102100446	0.9977794	1.8558072e-05	0.00016688403	0.0006734017	0.00052852224	0.0009842244	0.001034468	0.00057237793	0.0002773714	0.0009009206	0.002098268
Colombia_30102100448	0.99841565	9.9142555e-05	0.0002594361	0.00034289277	0.000698042	0.001172624	0.0009204477	0.00022191959	0.0006196107	0.00020122886	0.0010607468
Colombia_30102100449	0.99931264	8.477679e-06	3.48638e-05	0.00036898383	7.767242e-05	0.0004751821	0.0	0.0	0.0	0.00061007024	0.00068298297
Colombia_30102100485	0.99665684	4.205043e-05	0.00045927436	0.0012058823	0.0032272409	0.003765991	0.00072159304	0.0003263948	0.00022883275	0.0009807941	0.0017133658
Colombia_30102100486	0.99791133	9.450591e-06	0.00016781582	0.0005162274	0.00030289698	0.0011251963	0.00067904976	0.0010404604	0.0007243089	0.0010557715	0.0011484365
Colombia_30102100487	0.9976409	6.2897707e-06	0.00055436767	0.0017802536	0.003021607	0.003367236	0.0	0.00027303756	0.0	0.00041000228	0.0006209293
Colombia_30102100488	0.9983851	1.6658652e-05	0.00030494842	0.00053094496	0.00052202976	0.00084786135	0.0010083853	9.8082e-05	0.0007602386	0.0004925493	0.0009974004
Colombia_30102100489	0.9968312	1.7330352e-05	0.0013434412	0.0026032426	0.003709449	0.0044576554	0.000835303	0.0003296954	0.00013063943	0.00021022247	0.00040500629
Colombia_30102100490	0.9977068	6.7229225e-06	0.00062819757	0.0015004156	0.0029024512	0.0031055515	0.0	9.998933e-05	0.0001647765	0.00043341494	0.0007721066
Colombia_30102100491	0.7950224	0.00040407703	0.024540465	0.041938838	0.071004376	0.07356833	0.07448077	0.08718728	0.096306734	0.09883637	0.10403116
Colombia_30102100492	0.9964286	5.0305804e-05	0.00036572918	0.00081295485	0.002414598	0.0019222875	0.0003621129	0.002405939	0.0018941277	0.0015111039	0.00064125995
Colombia_30102100493	0.9975179	1.6791204e-05	0.0003536631	0.0004468587	4.5328634e-05	0.0014883092	0.0014085313	0.0008325426	0.0004931542	0.0010246923	0.0019163243
Colombia_30102100504	0.9968827	7.3873525e-05	0.0005933948	0.0015923141	0.0032089038	0.0027431326	0.0	0.000475581	0.0002784527	0.0011021339	0.0019133553
Colombia_30103103280	0.9986238	1.0602669e-05	4.747624e-05	8.775894e-05	0.0002919657	0.0005881322	0.0005341409	0.00020233827	0.00031120455	0.00046831925	0.001670112
Colombia_30103103295	0.99726164	1.2423642e-05	0.0008572035	0.0016628038	0.0036591387	0.0031855907	0.00012607877	0.00011948527	0.00017531597	0.00067846297	0.0009633438
Colombia_30111110015	0.76205254	0.0005882838	0.03109557	0.05298542	0.0691694	0.07630528	0.09494866	0.10239036	0.123409465	0.11027861	0.11781195
Colombia_30111110020	0.9973766	5.092251e-06	0.00093457225	0.0016014255	0.0036274132	0.0028094808	0.00022175946	0.0	0.00058123935	0.0004051114	0.0008590673
Colombia_30111110026	0.9988694	5.9375507e-06	3.6454112e-05	0.0006685129	0.00036730725	0.0008134605	0.0006315863	0.0	0.00035494944	0.0005676664	0.00053122133
HT_1_144	0.9826593	2.5071133e-05	0.0025135288	0.003737958	0.0048719277	0.007318118	0.009415838	0.008514243	0.006345855	0.006961087	0.008060949
HT_1_147	0.9949472	1.1137955e-05	0.0003569225	0.0016023046	0.0022952373	0.002140542	0.0039667925	0.003150939	0.0021804138	0.0012684404	0.00058564637
HT_2_112	0.9752514	7.233726e-05	0.003765446	0.005930525	0.008218483	0.009367592	0.011136004	0.010961013	0.010375741	0.011230546	0.01159829
IVC09-BB-0012	0.99631065	7.0545475e-06	0.00020749852	0.00068962836	0.0016804882	0.002934437	0.0061419024	0.0	0.00097142375	0.0004502772	0.00016119178
IVC09-OM-0012	0.99639696	1.4382903e-05	0.00080710417	0.0007270267	0.0037382967	0.0011489544	0.0057680495	0.00020210526	0.0008470777	0.0001876155	0.00031707084
IVC09-OM-0015	0.9978431	1.3912075e-05	0.00015025344	0.00026899687	0.001627851	0.0	0.0022642026	0.0021231188	0.00030022266	0.000686312	0.0
IVC09-OM-0018	0.64843166	0.0019450431	0.041574277	0.073769644	0.10464375	0.121793054	0.13770707	0.15896995	0.16522656	0.1731441	0.17040883
IVC09-OM-0032	0.71016085	0.0016893046	0.03883229	0.06611927	0.09261628	0.107652925	0.11532573	0.13363178	0.13796104	0.13194026	0.13356178
IVC09-OM-0044	0.99764216	1.0603229e-05	0.00021696679	0.00029227536	0.0011889176	0.00036763505	0.0051109497	0.0	0.0008395332	0.0	0.00025705053
IVC09-OM-0046	0.99814403	1.6484535e-05	0.00017939079	0.00041891952	0.0010120743	0.00014908463	0.001250598	0.0016337249	0.00095284486	0.00069348916	0.0
IVC09-OM-0076	0.7914897	0.0013500702	0.028916232	0.04863982	0.06815093	0.08075343	0.08207498	0.091406204	0.09691336	0.09455378	0.099608265
IVC09-OM-0078	0.92547774	0.00042722397	0.010083013	0.013443045	0.020719588	0.031249924	0.029984562	0.031920042	0.03678101	0.034447834	0.035270747
IVC09-OM-0092	0.9847144	7.565521e-05	0.0019188549	0.002864367	0.004237646	0.0059913862	0.004934539	0.009431139	0.0063510486	0.008571427	0.005609086
IVC09-OM-0093	0.86599493	0.00073144044	0.015978914	0.027941652	0.03851224	0.047833256	0.05632074	0.06101106	0.06259054	0.06290801	0.06475899
IVC09-OM-0099	0.9986004	1.2547136e-05	0.00014935424	0.00051059766	0.0017706226	8.875559e-05	0.0025942747	0.00020907343	0.0	0.00011911268	0.0
IVC09-OM-0114	0.9967092	9.926965e-06	7.175445e-05	0.00066227996	0.0015174926	0.0023583742	0.004867433	0.0018817504	0.00038757597	0.0	0.0
IVC09-OM-0115	0.518649	0.0026033344	0.055878177	0.09255998	0.13867936	0.16707298	0.19930436	0.22601381	0.22162434	0.23107842	0.23385595
IVC09-OM-0118	0.9959712	6.4536284e-06	0.00083476404	0.0016665554	0.0038264839	0.0033912172	0.0055196253	0.00034713408	0.00050365017	0.0	0.0
IVC09-OM-0124	0.99721086	9.696645e-06	0.0008660962	0.0020042285	0.0032176345	0.0017546228	0.0031882392	0.00030622008	0.00044848077	0.0	0.0
