,Sample,Study,Site,First-level administrative division,Country,Lat,Long,Year,ENA,All samples same individual,Population,% callable,QC pass,Exclusion reason,Is returning traveller
31,Colombia_30102100438-A,X0001-PV-MULTI-HUPALO2016,Tierralta,Colombia: Cordoba,Colombia,8.172777799999999,-76.059444,2013,"SRR1564963,SRR1568155","Colombia_30102100438-A,Colombia_30102100438-B",LAM,78.03,False,Lower_covered_duplicate,False
32,Colombia_30102100438-B,X0001-PV-MULTI-HUPALO2016,Tierralta,Colombia: Cordoba,Colombia,8.172777799999999,-76.059444,2013,"SRR1564939,SRR1568227","Colombia_30102100438-A,Colombia_30102100438-B",LAM,78.18,True,Analysis_set,False
35,Colombia_30102100441-A,X0001-PV-MULTI-HUPALO2016,Tierralta,Colombia: Cordoba,Colombia,8.172777799999999,-76.059444,2013,"SRR1565136,SRR1568159","Colombia_30102100441-A,Colombia_30102100441-B",LAM,78.68,False,Lower_covered_duplicate,False
36,Colombia_30102100441-B,X0001-PV-MULTI-HUPALO2016,Tierralta,Colombia: Cordoba,Colombia,8.172777799999999,-76.059444,2013,"SRR1564989,SRR1567977","Colombia_30102100441-A,Colombia_30102100441-B",LAM,79.51,True,Analysis_set,False
37,Colombia_30102100443-A,X0001-PV-MULTI-HUPALO2016,Tierralta,Colombia: Cordoba,Colombia,8.172777799999999,-76.059444,2013,"SRR1562971,SRR1564927","Colombia_30102100443-A,Colombia_30102100443-B",LAM,78.26,False,Lower_covered_duplicate,False
38,Colombia_30102100443-B,X0001-PV-MULTI-HUPALO2016,Tierralta,Colombia: Cordoba,Colombia,8.172777799999999,-76.059444,2013,"SRR1562555,SRR1564990","Colombia_30102100443-A,Colombia_30102100443-B",LAM,81.92,True,Analysis_set,False
211,PD0607-C,1154-PV-TH-PRICE,Tak,Thailand: Tak,Thailand,16.5,98.7,2001,ERR337603,"PD0607-C,PD0623-C",WSEA,89.89,True,Analysis_set,False
224,PD0620-C,1154-PV-TH-PRICE,Wangpha,Thailand: Tak,Thailand,16.835,98.538,2012,ERR337607,"PD0620-C,PD0677-C",WSEA,87.89,True,Analysis_set,False
225,PD0622-C,1154-PV-TH-PRICE,Wangpha,Thailand: Tak,Thailand,16.835,98.538,2012,ERR337612,"PD0622-C,PD0622-Cx",WSEA,89.01,False,Unverified_metadata,False
226,PD0622-Cx,1154-PV-TH-PRICE,Wangpha,Thailand: Tak,Thailand,16.835,98.538,2012,ERR527357,"PD0622-C,PD0622-Cx",WSEA,90.05,False,Unverified_metadata,False
227,PD0623-C,1154-PV-TH-PRICE,Tak,Thailand: Tak,Thailand,16.5,98.7,2001,ERR337615,"PD0607-C,PD0623-C",WSEA,89.85,False,Lower_covered_duplicate,False
236,PD0677-C,1154-PV-TH-PRICE,Wangpha,Thailand: Tak,Thailand,16.835,98.538,2012,ERR527354,"PD0620-C,PD0677-C",WSEA,87.64,False,Lower_covered_duplicate,False
290,PH0073-CW,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2009,ERR713950,"PH0073-CW,PH0100-C",ESEA,88.43,True,Analysis_set,False
317,PH0188-C,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2010,ERR023042,"PH0188-C,PH0311-CW,PH0317-C",ESEA,92.01,False,Lower_covered_duplicate,False
318,PH0189-C,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2010,ERR023043,"PH0189-C,PH0312-C,PH0318-C",ESEA,87.71,False,Lower_covered_duplicate,False
319,PH0190-C,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2010,ERR027119,"PH0190-C,PH0313-C,PH0319-C",ESEA,88.27,True,Analysis_set,False
320,PH0309-C,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2010,ERR111729,"PH0309-C,PH0315-C",ESEA,86.49,False,Mixed_species,False
321,PH0310-C,1044-PF-KH-FAIRHURST,Ratanakiri,Cambodia: Ratanakiri,Cambodia,13.86208,107.09701499999998,2010,ERR152410,"PH0310-C,PH0316-C",ESEA,89.66,True,Analysis_set,False
322,PH0311-CW,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2010,ERR713955,"PH0188-C,PH0311-CW,PH0317-C",ESEA,92.34,True,Analysis_set,False
323,PH0312-C,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2010,ERR216477,"PH0189-C,PH0312-C,PH0318-C",ESEA,88.25,True,Analysis_set,False
324,PH0313-C,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2010,ERR111730,"PH0190-C,PH0313-C,PH0319-C",ESEA,87.81,False,Lower_covered_duplicate,False
325,PH0315-C,1044-PF-KH-FAIRHURST,Pursat,Cambodia: Pursat,Cambodia,12.372197,103.633575,2010,ERR054083,"PH0309-C,PH0315-C",ESEA,85.18,False,Lower_covered_duplicate,False
326,PH0316-C,1044-PF-KH-FAIRHURST,Ratanakiri,Cambodia: Ratanakiri,Cambodia,13.86208,107.09701499999998,2010,ERR152411,"PH0310-C,PH0316-C",ESEA,89.35,False,Lower_covered_duplicate,False
